,Unnamed: 0,year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
3740,3740,2020,ALABAMA,AL,1,63,41,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,849624,2323282,20210113,,DEMOCRAT
3741,3741,2020,ALABAMA,AL,1,63,41,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1441170,2323282,20210113,,REPUBLICAN
3742,3742,2020,ALABAMA,AL,1,63,41,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,25176,2323282,20210113,,LIBERTARIAN
3743,3743,2020,ALABAMA,AL,1,63,41,US PRESIDENT,,,True,7312,2323282,20210113,,OTHER
3744,3744,2020,ALASKA,AK,2,94,81,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,153778,359530,20210113,,DEMOCRAT
3745,3745,2020,ALASKA,AK,2,94,81,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,189951,359530,20210113,,REPUBLICAN
3746,3746,2020,ALASKA,AK,2,94,81,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,8897,359530,20210113,,LIBERTARIAN
3747,3747,2020,ALASKA,AK,2,94,81,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,False,318,359530,20210113,,OTHER
3748,3748,2020,ALASKA,AK,2,94,81,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,False,825,359530,20210113,,OTHER
3749,3749,2020,ALASKA,AK,2,94,81,US PRESIDENT,"JANOS, JAMES G. ""JESSE VENTURA""",GREEN,False,2673,359530,20210113,,OTHER
3750,3750,2020,ALASKA,AK,2,94,81,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,1127,359530,20210113,,OTHER
3751,3751,2020,ALASKA,AK,2,94,81,US PRESIDENT,,,True,1961,359530,20210113,,OTHER
3752,3752,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1672143,3387326,20210113,,DEMOCRAT
3753,3753,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1661686,3387326,20210113,,REPUBLICAN
3754,3754,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,51465,3387326,20210113,,LIBERTARIAN
3755,3755,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,True,190,3387326,20210113,,OTHER
3756,3756,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"CUMMINGS, DANIEL CLYDE",CONSTITUTION PARTY,True,36,3387326,20210113,,OTHER
3757,3757,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,True,236,3387326,20210113,,OTHER
3758,3758,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,True,13,3387326,20210113,,OTHER
3759,3759,2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"HAWKINS, HOWIE",GREEN,True,1557,3387326,20210113,,OTHER
3760,3760,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,False,1713,1219069,20210113,,OTHER
3761,3761,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,2108,1219069,20210113,,OTHER
3762,3762,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,423932,1219069,20210113,,DEMOCRAT
3763,3763,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,2980,1219069,20210113,,OTHER
3764,3764,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,False,2141,1219069,20210113,,OTHER
3765,3765,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"GAMMON, C. L.",INDEPENDENT,False,1475,1219069,20210113,,OTHER
3766,3766,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"WEST, KANYE",INDEPENDENT,False,4099,1219069,20210113,,OTHER
3767,3767,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"COLLINS, PHIL",INDEPENDENT,False,2812,1219069,20210113,,OTHER
3768,3768,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",INDEPENDENT,False,1321,1219069,20210113,,OTHER
3769,3769,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,13133,1219069,20210113,,LIBERTARIAN
3770,3770,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"MYERS, JOHN RICHARD",LIFE AND LIBERTY PARTY,False,1372,1219069,20210113,,OTHER
3771,3771,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,760647,1219069,20210113,,REPUBLICAN
3772,3772,2020,ARKANSAS,AR,5,71,42,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,False,1336,1219069,20210113,,OTHER
3773,3773,2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,11110250,17500881,20210113,,DEMOCRAT
3774,3774,2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,6006429,17500881,20210113,,REPUBLICAN
3775,3775,2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,187895,17500881,20210113,,LIBERTARIAN
3776,3776,2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,81029,17500881,20210113,,OTHER
3777,3777,2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN INDEPENDENT,False,60160,17500881,20210113,,OTHER
3778,3778,2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PEACE & FREEDOM,False,51037,17500881,20210113,,OTHER
3779,3779,2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,2605,17500881,20210113,,OTHER
3780,3780,2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"JANOS, JAMES G. ""JESSE VENTURA""",INDEPENDENT,True,611,17500881,20210113,,OTHER
3781,3781,2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,MARK CHARLES,INDEPENDENT,True,559,17500881,20210113,,OTHER
3782,3782,2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,True,185,17500881,20210113,,OTHER
3783,3783,2020,CALIFORNIA,CA,6,93,71,US PRESIDENT,JOSEPH KISHORE,INDEPENDENT,True,121,17500881,20210113,,OTHER
3784,3784,2020,COLORADO,CO,8,84,62,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1804352,3279980,20210113,,DEMOCRAT
3785,3785,2020,COLORADO,CO,8,84,62,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1364607,3279980,20210113,,REPUBLICAN
3786,3786,2020,COLORADO,CO,8,84,62,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,52460,3279980,20210113,,LIBERTARIAN
3787,3787,2020,COLORADO,CO,8,84,62,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,8986,3279980,20210113,,OTHER
3788,3788,2020,COLORADO,CO,8,84,62,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,False,1035,3279980,20210113,,OTHER
3789,3789,2020,COLORADO,CO,8,84,62,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,False,636,3279980,20210113,,OTHER
3790,3790,2020,COLORADO,CO,8,84,62,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,False,572,3279980,20210113,,OTHER
3791,3791,2020,COLORADO,CO,8,84,62,US PRESIDENT,"WEST, KANYE",INDEPENDENT,False,8089,3279980,20210113,,OTHER
3792,3792,2020,COLORADO,CO,8,84,62,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,5061,3279980,20210113,,OTHER
3793,3793,2020,COLORADO,CO,8,84,62,US PRESIDENT,"HAMMONS, BILL",UNITY PARTY,False,2730,3279980,20210113,,OTHER
3794,3794,2020,COLORADO,CO,8,84,62,US PRESIDENT,"HUBER, BLAKE",APPROVAL VOTING PARTY,False,355,3279980,20210113,,OTHER
3795,3795,2020,COLORADO,CO,8,84,62,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,False,25515,3279980,20210113,,OTHER
3796,3796,2020,COLORADO,CO,8,84,62,US PRESIDENT,"CHARLES, MARK",INDEPENDENT,False,2011,3279980,20210113,,OTHER
3797,3797,2020,COLORADO,CO,8,84,62,US PRESIDENT,"COLLINS, PHIL",PROHIBITION PARTY,False,568,3279980,20210113,,OTHER
3798,3798,2020,COLORADO,CO,8,84,62,US PRESIDENT,"HUNTER, PHIL",PROGRESSIVE PARTY,False,379,3279980,20210113,,OTHER
3799,3799,2020,COLORADO,CO,8,84,62,US PRESIDENT,"JACOB?FAMBRO, PRINCESS KHADIJAH MARYAM",INDEPENDENT,False,495,3279980,20210113,,OTHER
3800,3800,2020,COLORADO,CO,8,84,62,US PRESIDENT,"KENNEDY, ALYSON",SOCIALIST WORKERS PARTY,False,354,3279980,20210113,,OTHER
3801,3801,2020,COLORADO,CO,8,84,62,US PRESIDENT,"KISHORE, JOSEPH",SOCIALIST EQUALITY PARTY,False,196,3279980,20210113,,OTHER
3802,3802,2020,COLORADO,CO,8,84,62,US PRESIDENT,"KOPITKE, KYLE KENLEY",INDEPENDENT AMERICAN PARTY,False,762,3279980,20210113,,OTHER
3803,3803,2020,COLORADO,CO,8,84,62,US PRESIDENT,"MCHUGH, JOE",INDEPENDENT,False,614,3279980,20210113,,OTHER
3804,3804,2020,COLORADO,CO,8,84,62,US PRESIDENT,"SCOTT, JORDAN ""CANCER""",INDEPENDENT,False,175,3279980,20210113,,OTHER
3805,3805,2020,COLORADO,CO,8,84,62,US PRESIDENT,"CELLA, TODD",INDEPENDENT,False,4,3279980,20210113,,OTHER
3806,3806,2020,COLORADO,CO,8,84,62,US PRESIDENT,"HOEFLING, TOM",NON-AFFILIATED,False,24,3279980,20210113,,OTHER
3807,3807,2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1080831,1823857,20210113,,DEMOCRAT
3808,3808,2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,714717,1823857,20210113,,REPUBLICAN
3809,3809,2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,20230,1823857,20210113,,LIBERTARIAN
3810,3810,2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,7538,1823857,20210113,,OTHER
3811,3811,2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,219,1823857,20210113,,OTHER
3812,3812,2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"CHARLES, MARK",INDEPENDENT,True,11,1823857,20210113,,OTHER
3813,3813,2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"KLOJZY, JEFFREY J.",,True,0,1823857,20210113,,OTHER
3814,3814,2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"WEINSTEIN, KARYNN KRILL",,True,1,1823857,20210113,,OTHER
3815,3815,2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,True,6,1823857,20210113,,OTHER
3816,3816,2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"SIMMONS, MARY RUTH CARO",,True,2,1823857,20210113,,OTHER
3817,3817,2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,True,13,1823857,20210113,,OTHER
3818,3818,2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"HOWARD, SHAWN W.",,True,12,1823857,20210113,,OTHER
3819,3819,2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,True,22,1823857,20210113,,OTHER
3820,3820,2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"WEST, KANYE",INDEPENDENT,True,255,1823857,20210113,,OTHER
3821,3821,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"BELLAR, BARBARA",,True,7,504346,20210113,,OTHER
3822,3822,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,87,504346,20210113,,OTHER
3823,3823,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,True,5,504346,20210113,,OTHER
3824,3824,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"ROUSE, DEBORAH",,True,1,504346,20210113,,OTHER
3825,3825,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"BALL, DENNIS ANDREW",,True,3,504346,20210113,,OTHER
3826,3826,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,True,14,504346,20210113,,OTHER
3827,3827,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,True,28,504346,20210113,,OTHER
3828,3828,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"WEST, KANYE",INDEPENDENT,True,169,504346,20210113,,OTHER
3829,3829,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,True,1,504346,20210113,,OTHER
3830,3830,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"GIBSON, KATHRYN",,True,1,504346,20210113,,OTHER
3831,3831,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"CHARLES, MARK",INDEPENDENT,True,8,504346,20210113,,OTHER
3832,3832,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"WILLIAMS, MITCHELL",,True,2,504346,20210113,,OTHER
3833,3833,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,True,1,504346,20210113,,OTHER
3834,3834,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"JACOB?FAMBRO, PRINCESS KHADIJAH MARYAM",INDEPENDENT,True,2,504346,20210113,,OTHER
3835,3835,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"HOWARD, SHAWN W.",,True,4,504346,20210113,,OTHER
3836,3836,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"CELLA, TODD",INDEPENDENT,True,2,504346,20210113,,OTHER
3837,3837,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"HOEFLING, TOM",NON-AFFILIATED,True,1,504346,20210113,,OTHER
3838,3838,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,296268,504346,20210113,,DEMOCRAT
3839,3839,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,200603,504346,20210113,,REPUBLICAN
3840,3840,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,5000,504346,20210113,,LIBERTARIAN
3841,3841,2020,DELAWARE,DE,10,51,11,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,2139,504346,20210113,,OTHER
3842,3842,2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,True,317323,344356,20210113,,DEMOCRAT
3843,3843,2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,True,18586,344356,20210113,,REPUBLICAN
3844,3844,2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,True,2036,344356,20210113,,LIBERTARIAN
3845,3845,2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"HAWKINS, HOWIE",DC STATEHOOD GREEN,True,1726,344356,20210113,,OTHER
3846,3846,2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",INDEPENDENT,True,855,344356,20210113,,OTHER
3847,3847,2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,,,True,3137,344356,20210113,,OTHER
3848,3848,2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,False,693,344356,20210113,,OTHER
3849,3849,2020,FLORIDA,FL,12,59,43,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,5297045,11067456,20210113,,DEMOCRAT
3850,3850,2020,FLORIDA,FL,12,59,43,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,5668731,11067456,20210113,,REPUBLICAN
3851,3851,2020,FLORIDA,FL,12,59,43,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,70324,11067456,20210113,,LIBERTARIAN
3852,3852,2020,FLORIDA,FL,12,59,43,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,14721,11067456,20210113,,OTHER
3853,3853,2020,FLORIDA,FL,12,59,43,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,False,5712,11067456,20210113,,OTHER
3854,3854,2020,FLORIDA,FL,12,59,43,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,False,5966,11067456,20210113,,OTHER
3855,3855,2020,FLORIDA,FL,12,59,43,US PRESIDENT,"HOWARD, SHAWN W.",,True,9,11067456,20210113,,OTHER
3856,3856,2020,FLORIDA,FL,12,59,43,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,3902,11067456,20210113,,OTHER
3857,3857,2020,FLORIDA,FL,12,59,43,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,True,8,11067456,20210113,,OTHER
3858,3858,2020,FLORIDA,FL,12,59,43,US PRESIDENT,"WALLS-WINDHAUSER, ANGELA",,True,2,11067456,20210113,,OTHER
3859,3859,2020,FLORIDA,FL,12,59,43,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,True,181,11067456,20210113,,OTHER
3860,3860,2020,FLORIDA,FL,12,59,43,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,854,11067456,20210113,,OTHER
3861,3861,2020,FLORIDA,FL,12,59,43,US PRESIDENT,"LABOCH, MICHAEL",,True,1,11067456,20210113,,OTHER
3862,3862,2020,GEORGIA,GA,13,58,44,US PRESIDENT,"BELLAR, BARBARA",,True,10,4999960,20210113,,OTHER
3863,3863,2020,GEORGIA,GA,13,58,44,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,True,701,4999960,20210113,,OTHER
3864,3864,2020,GEORGIA,GA,13,58,44,US PRESIDENT,"BYRNE, DAVID",,True,6,4999960,20210113,,OTHER
3865,3865,2020,GEORGIA,GA,13,58,44,US PRESIDENT,"ROUSE, DEBORAH",,True,1,4999960,20210113,,OTHER
3866,3866,2020,GEORGIA,GA,13,58,44,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,True,61,4999960,20210113,,OTHER
3867,3867,2020,GEORGIA,GA,13,58,44,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,True,159,4999960,20210113,,OTHER
3868,3868,2020,GEORGIA,GA,13,58,44,US PRESIDENT,"HAWKINS, HOWIE",GREEN,True,1013,4999960,20210113,,OTHER
3869,3869,2020,GEORGIA,GA,13,58,44,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,True,181,4999960,20210113,,OTHER
3870,3870,2020,GEORGIA,GA,13,58,44,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,True,6,4999960,20210113,,OTHER
3871,3871,2020,GEORGIA,GA,13,58,44,US PRESIDENT,"GIBSON, KATHRYN",,True,2,4999960,20210113,,OTHER
3872,3872,2020,GEORGIA,GA,13,58,44,US PRESIDENT,"COLLINS, LOREN",,True,11,4999960,20210113,,OTHER
